AgencyName,OrganizationName,PositionTitle,PositionStatus,AppointmentTypeDescription,ExpirationDate,LevelGradePay,Location,IncumbentFirstName,IncumbentLastName,PaymentPlanDescription,Tenure,IncumbentBeginDate,IncumbentVacateDate
DEPARTMENT OF THE AIR FORCE,OFFICE OF ASSISTANT SECRETARY AIR FORCE FOR FINANCIAL MANAGEMENT AND COMPTROLLER,ASSISTANT SECRETARY OF THE AIR FORCE (FINANCIAL MANAGEMENT AND COMPTROLLER),Vacant,PAS,,IV,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF ASSISTANT SECRETARY AIR FORCE FOR FINANCIAL MANAGEMENT AND COMPTROLLER,PRINCIPAL DEPUTY ASSISTANT SECRETARY FINANCIAL MANAGEMENT AND COMPTROLLER,Filled,CA,,"$172,093","ARLINGTON, VA",CARLOS,RODGERS,ES,,,
DEPARTMENT OF THE AIR FORCE,"OFFICE OF ASSISTANT SECRETARY AIR FORCE, INSTALLATIONS, ENVIRONMENT, AND ENERGY","ASSISTANT SECRETARY OF THE AIR FORCE (INSTALLATIONS, ENVIRONMENT AND ENERGY)",Vacant,PAS,,IV,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE AIR FORCE,"OFFICE OF ASSISTANT SECRETARY AIR FORCE, INSTALLATIONS, ENVIRONMENT, AND ENERGY",DEPUTY ASSISTANT SECRETARY (ENERGY),Filled,CA,,"$163,526","ARLINGTON, VA",ROBERTO,GUERRERO,ES,,,
DEPARTMENT OF THE AIR FORCE,"OFFICE OF ASSISTANT SECRETARY AIR FORCE, INSTALLATIONS, ENVIRONMENT, AND ENERGY","DEPUTY ASSISTANT SECRETARY (ENVIRONMENT, SAFETY AND OCCUPATIONAL HEALTH)",Filled,CA,,"$174,500","ARLINGTON, VA",NANCY,BALKUS,ES,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF ASSISTANT SECRETARY OF THE AIR FORCE FOR MANPOWER AND RESERVE AFFAIRS,ASSISTANT SECRETARY OF THE AIR FORCE (MANPOWER AND RESERVE AFFAIRS),Vacant,PAS,,IV,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF ASSISTANT SECRETARY OF THE AIR FORCE FOR MANPOWER AND RESERVE AFFAIRS,DEPUTY ASSISTANT SECRETARY FOR RESERVE AFFAIRS,Filled,CA,,,"Washington, DC",TROY,MCINTOSH,ES,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE ASSISTANT SECRETARY OF THE AIR FORCE FOR SPACE ACQUISITION & INTEGRATION,ASSISTANT SECRETARY OF THE AIR FORCE FOR SPACE ACQUISITION &amp; INTEGRATION,Vacant,PAS,,V,"PENTAGON, ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE CHIEF OF STAFF,SENIOR STRATEGIC ADVISOR TO THE AIR FORCE CHIEF OF STAFF,Filled,XS,05/04/2028 00:00:00,,"PENTAGON, ARLINGTON, VA",RUSSELL,NORMAN,SL,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE GENERAL COUNSEL,DEPUTY GENERAL COUNSEL (ACQUISITION),Filled,CA,,"$179,988","Washington, DC",RICHARD,CLIFFORD,ES,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE GENERAL COUNSEL,DEPUTY GENERAL COUNSEL (CONTRACTOR RESPONSIBILITY),Vacant,CA,,,"ARLINGTON, VA",,,ES,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE GENERAL COUNSEL,"DEPUTY GENERAL COUNSEL (INSTALLATIONS, ENERGY AND ENVIRONMENT)",Filled,CA,,"$171,451","Washington, DC",JEFFREY,LUSTER,ES,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE GENERAL COUNSEL,"DEPUTY GENERAL COUNSEL (INTELLIGENCE, INTERNATIONAL AND MILITARY AFFAIRS)",Filled,CA,,,"ARLINGTON, VA",JULIA,MUEDEKING,ES,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE GENERAL COUNSEL,GENERAL COUNSEL,Vacant,PAS,,IV,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE SECRETARY,"DEPUTY DIRECTOR OF STAFF, SECRETARIAT",Filled,CA,,,"PENTAGON, ARLINGTON, VA",DANIEL,BLAKE,ES,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE SECRETARY,"DIRECTOR, DEPARTMENT OF THE AIR FORCE (DAF) ENTERPRISE MANAGEMENT",Filled,CA,,,"PENTAGON, ARLINGTON, VA",JULIANNE,LEFEVRE,ES,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE SECRETARY,SECRETARY OF THE AIR FORCE,Filled,PAS,,II,"ARLINGTON, VA",TROY,MEINK,EX,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT TO THE SECRETARY OF THE AIR FORCE,Filled,SC,,12,"PENTAGON, ARLINGTON, VA",ABDIEL,VAZQUEZ,GS,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT TO THE SECRETARY OF THE AIR FORCE,Filled,SC,,15,"PENTAGON, ARLINGTON, VA",William,Sorensen,GS,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT/CHIEF OF STAFF TO THE SECRETARY OF THE AIR FORCE,Vacant,NA,,,"ARLINGTON, VA",,,ES,,,
DEPARTMENT OF THE AIR FORCE,OFFICE OF THE UNDER SECRETARY,UNDER SECRETARY OF THE AIR FORCE,Vacant,PAS,,III,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE AIR FORCE,UNITED STATES NORTHERN COMMAND,DEPUTY DIRECTOR OF OPERATIONS,Filled,CA,,,"COLORADO SPGS, CO",ROBERT,CUNNIFF,ES,,,
DEPARTMENT OF THE AIR FORCE,UNITED STATES NORTHERN COMMAND,"DEPUTY DIRECTOR OF STRATEGY, POLICY AND PLANS",Filled,CA,,,"COLORADO CITY, CO",KAREN,POUND,ES,,,
DEPARTMENT OF THE AIR FORCE,UNITED STATES STRATEGIC COMMAND,"DEPUTY DIRECTOR, CAPABILITY AND RESOURCE INTEGRATION",Vacant,CA,,,"FORT MEADE, MD",,,ES,,,
DEPARTMENT OF THE ARMY,"AFC, COMBAT CAPABILITIES DEVELOPMENT CMD, ARMY RESEARCH LABORATORY","SENIOR RESEARCH SCIENTIST (QUANTUM SCIENCES), ARL",Filled,XS,,"$207,500","ADELPHI, MD",FATEMI,FREDRIK,ST,,,
DEPARTMENT OF THE ARMY,CENTER FOR ARMY ANALYSIS (CENTER FOR ARMY ANALYSIS),"DIRECTOR, CENTER FOR ARMY ANALYSIS",Filled,CA,,"$219,150","FORT BELVOIR, VA",STEVEN,STODDARD,ES,,,
DEPARTMENT OF THE ARMY,CENTER FOR ARMY ANALYSIS (CENTER FOR ARMY ANALYSIS),TECHNICAL DIRECTOR,Filled,CA,,"$207,500","FORT BELVOIR, VA",JOSH,HELMS,ES,,,
DEPARTMENT OF THE ARMY,CHIEF INFORMATION OFFICER,CHIEF INFORMATION OFFICER,Filled,TA,07/15/2026 00:00:00,"$225,700","PENTAGON, ARLINGTON, VA",LEONEL,GARCIGA,ES,,,
DEPARTMENT OF THE ARMY,CHIEF INFORMATION OFFICER,"DIRECTOR OF ARCHITECTURE, DATA AND STANDARDS",Filled,CA,,"$185,335","PENTAGON, ARLINGTON, VA",WILFREDO,CALDERO,ES,,,
DEPARTMENT OF THE ARMY,"HEADQUARTERS, UNITED STATES ARMY, EUROPE","ASSISTANT CHIEF OF STAFF, STRATEGY AND PLANS U.S. ARMY EUROPE",Filled,CA,,"$207,500","WIESBADEN, Germany",KEVIN,MARCUS,ES,,,
DEPARTMENT OF THE ARMY,NORTH ATLANTIC TREATY ORGANIZATION,ADMINISTRATIVE ADVISOR TO UNITED STATES AMBASSADOR TO NORTH ATLANTIC TREATY ORGANIZATION,Vacant,CA,,,"BRUSSELS, Belgium",,,ES,,,
DEPARTMENT OF THE ARMY,NORTH ATLANTIC TREATY ORGANIZATION,ADMINISTRATIVE ADVISOR TO UNITED STATES AMBASSADOR TO NORTH ATLANTIC TREATY ORGANIZATION,Filled,CA,,,"BRUSSELS, Belgium",MAUREEN,HIGGINS,ES,,8/1/2021 12:00:00 AM,2/28/2025 12:00:00 AM
DEPARTMENT OF THE ARMY,NORTH ATLANTIC TREATY ORGANIZATION,"DEAN, NORTH ATLANTIC TREATY ORGANIZATION DEFENSE COLLEGE",Filled,TA,,"$217,000","ROME, Italy",CHRISTOPHER,SCHNAUBELT,ES,3.0,2/7/2022 12:00:00 AM,2/7/2025 12:00:00 AM
DEPARTMENT OF THE ARMY,NORTH ATLANTIC TREATY ORGANIZATION,"DEAN, NORTH ATLANTIC TREATY ORGANIZATION DEFENSE COLLEGE",Filled,TA,,,"ROME, Italy",SUZANNE,NIELSEN,ES,3.0,,
DEPARTMENT OF THE ARMY,NORTH ATLANTIC TREATY ORGANIZATION,"DIRECTOR, DEFENSE POLICY AND PLANNING",Filled,CA,,"$203,414","BRUSSELS, Belgium",JESSICA,COX,ES,,,
DEPARTMENT OF THE ARMY,NORTH ATLANTIC TREATY ORGANIZATION,"DIRECTOR, DEFENSE POLICY AND PLANNING",Filled,CA,,"$203,414","BRUSSELS, Belgium",JESSICA,COX,ES,,,
DEPARTMENT OF THE ARMY,NORTH ATLANTIC TREATY ORGANIZATION,"DIRECTOR, RESOURCES AND LOGISTICS",Filled,CA,,"$217,000","BRUSSELS, Belgium",MARILYN,MORSE,ES,,,
DEPARTMENT OF THE ARMY,NORTH ATLANTIC TREATY ORGANIZATION,"MANAGING DIRECTOR DEFENSE ARMAMENTS, COMMUNICATIONS ELECTRONICS AND INVESTMENTS DIVISION",Filled,CA,,"$217,000","BRUSSELS, Belgium",MATTHEW,WARREN,ES,,,
DEPARTMENT OF THE ARMY,"OFFICE ASSISTANT SECRETARY ARMY (ACQUISITION, LOGISTICS AND TECHNOLOGY)","ASSISTANT SECRETARY OF THE ARMY (ACQUISITION, LOGISTICS AND TECHNOLOGY)",Vacant,PAS,,IV,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE ARMY,"OFFICE ASSISTANT SECRETARY ARMY (ACQUISITION, LOGISTICS AND TECHNOLOGY)",DEPUTY ASSISTANT SECRETARY OF THE ARMY (STRATEGY ACQUISITION REFORM),Vacant,NA,,,"PENTAGON, ARLINGTON, VA",,,ES,,,
DEPARTMENT OF THE ARMY,"OFFICE ASSISTANT SECRETARY ARMY (ACQUISITION, LOGISTICS AND TECHNOLOGY)","PRINCIPAL DEPUTY ASSIST SECRETARY OF THE ARMY (ACQUISITION, LOGISTICS AND TECHNOLOGY)",Filled,NA,,"$195,200","PENTAGON, ARLINGTON, VA",JESSE,TOLLESON,ES,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (CIVIL WORKS),ASSISTANT SECRETARY OF THE ARMY (CIVIL WORKS),Vacant,PAS,,IV,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (CIVIL WORKS),DEPUTY ASSISTANT SECRETARY OF THE ARMY (PROJECT PLANNING AND REVIEW),Filled,CA,,"$212,585","ARLINGTON, VA",ROBYN,COLOSIMO,ES,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (CIVIL WORKS),PRINCIPAL DEPUTY ASSISTANT SECRETARY OF THE ARMY (CIVIL WORKS),Filled,NA,,"$190,000","ARLINGTON, VA",DENNIS,FORSGREN,ES,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (FINANCIAL MANAGEMENT AND COMPTROLLER),ASSISTANT SECRETARY OF THE ARMY (FINANCIAL MANAGEMENT AND COMPTROLLER),Vacant,PAS,,IV,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (FINANCIAL MANAGEMENT AND COMPTROLLER),PRINCIPAL DEPUTY ASSISTANT SECRETARY OF THE ARMY (FINANCIAL MANAGEMENT AND COMPTROLLER),Filled,NA,,"$195,200","PENTAGON, ARLINGTON, VA",Candice,Kinn,ES,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (FINANCIAL MANAGEMENT AND COMPTROLLER),SPECIAL ASSISTANT TO THE ASSISTANT SECRETARY OF THE ARMY (FINANCIAL MANAGEMENT AND COMPTROLLER),Filled,SC,,11,"PENTAGON, ARLINGTON, VA",Christian,Gentile,GS,,,
DEPARTMENT OF THE ARMY,"OFFICE ASSISTANT SECRETARY ARMY (INSTALLATIONS, ENERGY AND ENVIRONMENT)",ASSISTANT SECRETARY OF THE ARMY (INSTALLATIONS AND ENVIRONMENT),Vacant,PAS,,IV,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE ARMY,"OFFICE ASSISTANT SECRETARY ARMY (INSTALLATIONS, ENERGY AND ENVIRONMENT)","PRINCIPAL DEPUTY ASSISTANT SECRETARY OF THE ARMY (INSTALLATIONS, ENERGY AND ENVIRONMENT)",Filled,NA,,"$195,200","PENTAGON, ARLINGTON, VA",JEFF,WAKSMAN,ES,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (MANPOWER AND RESERVE AFFAIRS),ASSISTANT SECRETARY OF THE ARMY (MANPOWER AND RESERVE AFFAIRS),Vacant,PAS,,IV,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (MANPOWER AND RESERVE AFFAIRS),DEPUTY ASSISTANT SECRETARY OF THE ARMY (CIVILIAN PERSONNEL),Vacant,CA,,,"ARLINGTON, VA",,,ES,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (MANPOWER AND RESERVE AFFAIRS),DEPUTY ASSISTANT SECRETARY OF THE ARMY (MILITARY PERSONNEL),Filled,CA,,"$211,794","PENTAGON, ARLINGTON, VA",JOHN,STONEBURG,ES,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (MANPOWER AND RESERVE AFFAIRS),PRINCIPAL DEPUTY TO THE ASSISTANT SECRETARY OF THE ARMY (MANPOWER AND RESERVE AFFAIRS),Filled,NA,,"$177,660","ARLINGTON, VA",DERRICK,ANDERSON,ES,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (MANPOWER AND RESERVE AFFAIRS),SENIOR ADVISOR TO THE ASSISTANT SECRETARY OF THE ARMY (MANPOWER AND RESERVE AFFAIRS),Filled,NA,,"$166,142","PENTAGON, ARLINGTON, VA",BRIAN,SCARLETT,ES,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (MANPOWER AND RESERVE AFFAIRS),SPECIAL ASSISTANT,Filled,SC,,13,"PENTAGON, ARLINGTON, VA",Luke,Bijelic,GS,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (MANPOWER AND RESERVE AFFAIRS),SPECIAL ASSISTANT TO THE ASSISTANT SECRETARY OF THE ARMY (MANPOWER AND RESERVE AFFAIRS),Filled,SC,,9,"PENTAGON, ARLINGTON, VA",ELIAS,IRIZARRY,GS,,,
DEPARTMENT OF THE ARMY,OFFICE ASSISTANT SECRETARY ARMY (MANPOWER AND RESERVE AFFAIRS),SR ADVISOR FOR EQUITY & INCLUSION/DASA (EQUITY & INCLUSION),Filled,CA,,"$217,000","PENTAGON, ARLINGTON, VA",MICHELLE,ZBYLUT,ES,,,
DEPARTMENT OF THE ARMY,OFFICE DEPUTY UNDER SECRETARY OF ARMY,DEPUTY UNDER SECRETARY OF THE ARMY,Vacant,NA,,,"PENTAGON, ARLINGTON, VA",,,ES,,,
DEPARTMENT OF THE ARMY,OFFICE DEPUTY UNDER SECRETARY OF ARMY,"DIRECTOR, STRATEGIC PLANNING AND POLICY (LIMITED TERM)",Filled,DA,,"$207,500","PENTAGON, ARLINGTON, VA",MICHAEL,LWIN,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF COMMAND COUNSEL,COMMAND COUNSEL,Filled,CA,,"$219,150","REDSTONE ARSENAL, AL",BRIAN,TOLAND,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF COMMAND COUNSEL,DEPUTY COMMAND COUNSEL,Filled,CA,,"$209,532","REDSTONE ARSENAL, AL",BOBBI,DAVIS,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF LEGISLATIVE LIAISON,PRINCIPAL DEPUTY CHIEF OF LEGISLATIVE LIAISON,Filled,CA,,"$217,000","ARLINGTON, VA",KATHRYN,YURKANIN,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILITILIZATION,DIRECTOR OF SMALL BUSINESS PROGRAMS,Filled,CA,,"$217,000","ARLINGTON, VA",KIMBERLY,BUEHLER,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE GENERAL COUNSEL,DEPUTY GENERAL COUNSEL (ACQUISITION),Filled,CA,,"$225,700","ARLINGTON, VA",LEVATOR,NORSWORTHY,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE GENERAL COUNSEL,DEPUTY GENERAL COUNSEL (ETHICS AND FISCAL),Filled,CA,,"$190,000","ARLINGTON, VA",SHELLEY,TURNER,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE GENERAL COUNSEL,"DEPUTY GENERAL COUNSEL (INSTALLATIONS, ENVIRONMENT AND CIVIL WORKS)",Filled,CA,,"$219,130","ARLINGTON, VA",CRAIG,SCHMAUDER,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE GENERAL COUNSEL,DEPUTY GENERAL COUNSEL (OPERATIONS AND PERSONNEL),Filled,CA,,"$207,500","ARLINGTON, VA",FRANCIS,KING,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE GENERAL COUNSEL,GENERAL COUNSEL,Vacant,PAS,,IV,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE GENERAL COUNSEL,PRINCIPAL DEPUTY GENERAL COUNSEL,Vacant,NA,,,"PENTAGON, ARLINGTON, VA",,,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE GENERAL COUNSEL,SENIOR INTELLECTUAL PROPERTY LAW ATTORNEY,Filled,XS,,"$207,500","ARLINGTON, VA",CHARLES,HARRIS,SL,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE JUDGE ADVOCATE GENERAL,"DIRECTOR, CIVIL LAW AND LITIGATION",Filled,XS,,,"FALLS CHURCH, VA",Holly,Bryant,SL,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE JUDGE ADVOCATE GENERAL,"DIRECTOR, CIVILIAN PERSONNEL, LABOR AND EMPLOYMENT LAW",Filled,CA,,"$217,000","ARLINGTON, VA",WILLIAM,KOON,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE JUDGE ADVOCATE GENERAL,"DIRECTOR, SOLDIER AND FAMILY LEGAL SERVICES",Filled,CA,,"$219,150","ROSSLYN, VA",KAREN,CARLISLE,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE SECRETARY,CHIEF OF STAFF TO THE SECRETARY OF THE ARMY,Filled,NA,,"$195,200","PENTAGON, ARLINGTON, VA",TERENCE,HAGANS,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE SECRETARY,CHIEF STRATEGIC ADVISOR TO THE SECRTARY OF THE ARMY,Filled,NA,,"$195,200","PENTAGON, ARLINGTON, VA",DAVID,FITZGERALD,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE SECRETARY,PRINCIPAL CYBER ADVISOR TO SECRETARY OF THE ARMY,Filled,NA,,"$191,000","PENTAGON, ARLINGTON, VA",Brandon,Pugh,ES,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE SECRETARY,SECRETARY OF THE ARMY,Filled,PAS,,II,"ARLINGTON, VA",DANIEL,DRISCOLL,EX,,,
DEPARTMENT OF THE ARMY,OFFICE OF THE UNDER SECRETARY,"CHIEF, STRATEGIC STAFF ADVISOR",Filled,TA,,,"PENTAGON, ARLINGTON, VA",MITCHEL,HOCHBERG,ES,,12/7/2022 12:00:00 AM,1/28/2025 12:00:00 AM
DEPARTMENT OF THE ARMY,OFFICE OF THE UNDER SECRETARY,UNDER SECRETARY OF THE ARMY,Vacant,PAS,,III,"ARLINGTON, VA",,,EX,,,
DEPARTMENT OF THE ARMY,"OFFICE, CHIEF OF STAFF",DIRECTOR OF MANAGEMENT/VICE DIRECTOR OF THE ARMY STAFF,Filled,CA,,"$219,130","Washington, DC",LAURA,JANKOVICH,ES,,,
DEPARTMENT OF THE ARMY,"OFFICE, DEPUTY CHIEF OF STAFF , G-9","DIRECTOR, QUALITY OF LIFE TASK FORCE",Filled,TA,,"$219,018","PENTAGON, ARLINGTON, VA",DOLORES,GEISE,ES,,,
DEPARTMENT OF THE ARMY,"OFFICE, DEPUTY CHIEF OF STAFF, G-8","DEPUTY DIRECTOR, PROGRAM ANALYSIS AND EVALUATION DIRECTORATE",Filled,CA,,"$217,000","ARLINGTON, VA",WADE,YAMADA,ES,,,
DEPARTMENT OF THE ARMY,TANK-AUTOMOTIVE AND ARMAMENTS COMMAND (TANK-AUTOMOTIVE AND ARMAMENTS COMMAND),CHIEF COUNSEL,Filled,CA,,"$207,500","WARREN, MI",WENDY,SAIGH,ES,,,
DEPARTMENT OF THE ARMY,U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,CHIEF COUNSEL,Vacant,CA,,,"ABERDEEN PROVING GROUND, MD",,,ES,,,
DEPARTMENT OF THE ARMY,U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,CHIEF COUNSEL,Filled,CA,,,"ABERDEEN PROVING GROUND, MD",FRANCIS,KING,ES,,4/2/2018 12:00:00 AM,5/17/2025 12:00:00 AM
DEPARTMENT OF THE ARMY,U.S. ARMY FUTURES COMMAND,SENIOR ADVISOR FOR SCIENCE AND TECHNOLOGY,Vacant,XS,,,"AUSTIN, TX",,,SL,,,
DEPARTMENT OF THE ARMY,U.S. ARMY TEST AND EVALUATION COMMAND,ATEC HQ – CHIEF DATA OFFICER,Filled,XS,,"$206,524","ABERDEEN, MD",JOSEPH,KELLY,ST,,,
DEPARTMENT OF THE ARMY,U.S. ARMY TEST AND EVALUATION COMMAND,"EXECUTIVE TECHNICAL DIRECTOR, ARMY TEST AND EVALUATION COMMAND",Filled,TA,,,"WHITE SANDS MSL RGE, NM",VINCENT,LIDDIARD,ES,,7/30/2023 12:00:00 AM,2/22/2025 12:00:00 AM
DEPARTMENT OF THE ARMY,U.S. ARMY TEST AND EVALUATION COMMAND,EXECUTIVE TECHNICAL DIRECTOR/DEPUTY TO THE COMMANDER,Filled,CA,,"$219,150","FALLS CHURCH, VA",JAMES,AMATO,ES,,,
DEPARTMENT OF THE ARMY,UNITED STATES AFRICA COMMAND,"ADVISOR, DEVELOPMENT AND HUMANITARIAN ASSISTANCE, U.S. AFRICA COMMAND",Vacant,TA,,,"STUTTGART, Germany",,,ES,,,
DEPARTMENT OF THE ARMY,UNITED STATES AFRICA COMMAND,"ADVISOR, DEVELOPMENT AND HUMANITARIAN ASSISTANCE, U.S. AFRICA COMMAND",Filled,TA,,,"STUTTGART, Germany",MAURA,BARRY BOYLE,ES,,5/6/2023 12:00:00 AM,5/5/2025 12:00:00 AM
DEPARTMENT OF THE ARMY,UNITED STATES AFRICA COMMAND,"DEPUTY TO THE COMMANDER FOR CIVIL-MILITARY ACTIVITIES, U.S. AFRICA COMMAND",Vacant,TA,,,"STUTTGART, Germany",,,ES,,,
DEPARTMENT OF THE ARMY,UNITED STATES ARMY AVIATION AND MISSILE COMMAND (ARMY MATERIEL COMMAND),CHIEF COUNSEL,Filled,CA,,"$209,560","REDSTONE ARSENAL, AL",NATHANAEL,CAUSEY,ES,,,
DEPARTMENT OF THE ARMY,UNITED STATES ARMY CONTRACTING COMMAND,"CHIEF COUNSEL, ARMY CONTRACTING COMMAND",Filled,CA,,"$207,500","REDSTONE ARSENAL, AL",ROBERT,TEUTSCH,ES,,,
DEPARTMENT OF THE ARMY,UNITED STATES ARMY CORPS OF ENGINEERS,CHIEF COUNSEL,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE ARMY,UNITED STATES ARMY CORPS OF ENGINEERS,DEPUTY CHIEF COUNSEL,Filled,CA,,"$209,560","Washington, DC",DANIEL,MURRAY,ES,,,
DEPARTMENT OF THE ARMY,UNITED STATES ARMY SPACE AND MISSILE DEFENSE COMMAND,"DIRECTOR, SPACE AND MISSILE DEFENSE CENTER OF EXCELLENCE",Filled,CA,,"$217,000","HUNTSVILLE, AL",TIMOTHY,BISHOP,ES,,,
DEPARTMENT OF THE ARMY,UNITED STATES ARMY SUSTAINMENT COMMAND,CHIEF COUNSEL,Filled,CA,,"$209,560","ROCK ISLAND, IL",MATTHEW,PAUSCH,ES,,,
DEPARTMENT OF THE ARMY,UNITED STATES EUROPEAN COMMAND,CIVILIAN DEPUTY / FOREIGN POLICY ADVISORY TO THE COMMANDER EUROPEAN COMMAND,Vacant,EA,,,"STUTTGART, Germany",,,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,Vacant,PAS,,IV,"Washington, DC",,,EX,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,DEPUTY ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,DEPUTY ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,DIRECTOR EVERGLADES RESTORATION INITIATIVES/EXECUTIVE DIRECTOR SOUTH FLORIDA ECOSYSTEM RESTORATION TASK FORCE,Filled,CA,,"$157,400","MIAMI, FL",ADAM,GELBER,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,PRINCIPAL DEPUTY ASSISTANT SECRETARY FOR FISH AND WILDLIFE AND PARKS,Filled,NA,,"$195,200","Washington, DC",Kevin,Lilly,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,"SENIOR ADVISOR, ASSISTANT SECRETARY- FISH AND WILDLIFE AND PARKS",Filled,SC,,15,"Washington, DC",Jenifer,Chatfield,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,SPECIAL ADVISOR,Filled,SC,,14,"Washington, DC",TYLER,KELLOGG,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS,"SPECIAL ASSISTANT, ASSISTANT SECRETARY - FISH AND WILDLIFE AND PARKS",Filled,SC,,11,"Washington, DC",Adam,Rhoads,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,ASSISTANT SECRETARY - INDIAN AFFAIRS,Vacant,PAS,,IV,"Washington, DC",,,EX,,,
